ASLLEXcode,NewFileName,EntryID,Cantonese_Filtered,Cantonese ,cantonese_orig,Frank's Note,Grace's Note
C_01_023,C_01_023-COUSIN-0M02-254,cousin,堂弟,堂弟 (Younger male cousin born to father's brother/sister),堂弟,,
C_01_023,C_01_023-COUSIN-0M02-255,cousin,堂家姐,堂家姐 (Elder female cousin born to father's brother/sister),堂姐,written chinese,
C_01_023,C_01_023-COUSIN-0M02-253,cousin,堂兄,堂兄 (Elder male cousin born to father's brother/sister),堂兄,,
C_01_023,C_01_023-COUSIN-1238-250,cousin,表弟,表弟 (Younger male cousin born to mother's brother/sister),表弟,,
C_01_023,C_01_023-COUSIN-1238-251,cousin,表姐,表姐 (Elder female cousin born to mother's brother/sister),表姐,,
C_01_023,C_01_023-COUSIN-0M02-256,cousin,堂妹,堂妹 (Younger female cousin born to father's brother/sister),堂妹,,
C_01_023,C_01_023-COUSIN-1238-249,cousin,表哥,表哥 (Elder male cousin born to mother's brother/sister),表哥,,
C_01_023,C_01_023-COUSIN-1238-252,cousin,表妹,表妹 (Younger female cousin born to mothers' brother/sister) ,表妹,,
C_01_025,C_01_025-FAMILY-0N2B-257,family,屋企人,屋企人,家人,written chinese,
C_01_026,C_01_026-ACTION-0KML-258,action,動作,動作,動作,,
C_01_027,C_01_027-CENTER-0JHD-259,center,中間,中間,中間,,
C_01_028,C_01_028-UPLOAD-0JGA-260,upload,上載,上載,上載,,
C_01_029,C_01_029-FOUR-0LMR-261,four,四,四,四,,
C_01_030,C_01_030-WASTE-0RBA-262,waste,浪費,浪費,浪費,,
C_01_031,C_01_031-LETTER-0JV1-263,letter,信,信,信,,
C_01_032,C_01_032-MAKE-127T-264,make,製作,製作,製作,,
C_01_034,C_01_034-BASEMENT-0LPG-265,basement,地下室,地下室,地下室,,
C_01_035,C_01_035-MCDONALDS_2-12GO-266,mcdonalds_2,M記,M記,麥當勞,,changed to another colloquial name for mcdonalds 
C_01_036,C_01_036-HARD-15N3-267,hard,難,難,難,,
C_01_036,C_01_036-^HARD_TEXTURE-0U3C-268,^hard_texture,硬,硬 ,硬,,
C_01_037,C_01_037-QUIET-15QS-269,quiet,靜,靜,靜,,
C_01_038,C_01_038-CALL_ATTENTION-0NOL-270,call_attention,引起注意,引起注意,引人注意,no good corr,synonym
C_01_039,C_01_039-FRONT-0KID-271,front,前面,前面,前面,,
C_01_040,C_01_040-MAN-0T9N-272,man,男人,男人,男人,,
C_01_042,C_01_042-MONEY-14P2-273,money,錢,錢,錢,,
C_01_043,C_01_043-FINE_1-0NJU-274,fine_1,幾好,幾好,幾好,,
C_01_044,C_01_044-DAY-0PF5-275,day,日,日,日,,
C_01_047,C_01_047-STRICT-0LLK-276,strict,嚴格,嚴格,嚴格,,
C_01_048,C_01_048-KNOW-0TV5-277,know,知道,知道,知道,,
C_01_049,C_01_049-PAST-142E-278,past,過去,過去,過去,,
C_01_050,C_01_050-SHOW-0KFQ-279,show,出示,出示,出示,,
C_01_051,C_01_051-FAULT-142E-280,fault,過錯,過錯,過錯,,
C_01_052,C_01_052-EQUAL-0NJJ-281,equal,平等,平等,平等,,
C_01_053,C_01_053-WISH-162O-282,wish,願望,願望,願望,,
C_01_054,C_01_054-HEADPHONES-101J-283,headphones,耳筒,耳筒,耳筒,,
C_01_054,C_01_054-^HEADPHONES_2-101J-284,^headphones_2,耳機,耳機,耳機,,
C_01_055,C_01_055-DOWNSIZE_1-0RGR-285,downsize_1,減少,減少,減少,,
C_01_056,C_01_056-KING-0LOB-286,king,國王,國王,國王,,
C_01_056,C_01_056-^KING_2-0LOB-287,^king_2,國王,國王_2,國王,,
C_01_057,C_01_057-GUESS_1-0JPG-288,guess_1,估,估,估,,
C_01_058,C_01_058-STUPID_1-1212-289,stupid_1,蠢,蠢,蠢,,
C_01_059,C_01_059-CIGARETTE-16CP-290,cigarette,香煙,香煙,香煙,,
C_01_060,C_01_060-MY-0OGH-291,my,我嘅,我嘅,我的,written chinese,
C_01_061,C_01_061-COMPLEX-1287-292,complex,複雜,複雜,複雜,,
C_01_063,C_01_063-DIVORCE-15N2-293,divorce,離婚,離婚,離婚,,
C_01_064,C_01_064-EXPENSIVE-135K-294,expensive,貴,貴,貴,,
C_01_066,C_01_066-PLAY-0ST9-295,play,玩,玩,玩,,
C_01_067,C_01_067-CROSS-0KQ1-296,cross,十字架,十字架,十字架,,
C_01_069,C_01_069-HIPPO-0R5J-297,hippo,河馬,河馬,河馬,,
C_01_071,C_01_071-STAFF-103N-298,staff,職員,職員,職員,,
C_01_072,C_01_072-ERASER-0P76-299,eraser,擦字膠,擦字膠,擦膠,existing equivalent,
C_01_073,C_01_073-COMPUTER_MOUSE-0RMH-300,computer_mouse,滑鼠,滑鼠,滑鼠,,
C_01_076,C_01_076-REASON-0KSV-301,reason,原因,原因,原因,,
C_01_077,C_01_077-FOREIGNER_1-0M8M-302,foreigner_1,外國人,外國人,外國人,,
C_01_077,C_01_077-^FOREIGNER_2-0M8M-303,^foreigner_2,外國人,外國人_2,外國人,,
C_01_078,C_01_078-REQUIREMENT-12C1-304,requirement,要求,要求,要求,,
C_01_079,C_01_079-CHAT-0K5U-305,chat,傾計,傾計,傾計,,
C_01_081,C_01_081-CRACKER-11G7-306,cracker,蘇打餅,蘇打餅,餅乾,no good corr,synonym
C_01_082,C_01_082-TEMPTATION-0NOL-307,temptation,引誘,引誘,引誘,,
C_01_083,C_01_083-CHERRY-13MA-308,cherry,車厘子,車厘子,車厘子,,
C_01_084,C_01_084-EXERCISE-142B-309,exercise,運動,運動,運動,,
C_01_086,C_01_086-ANNOUNCE-0KBC-310,announce,公佈,公佈,公佈,,
C_01_087,C_01_087-BLOOD-1220-311,blood,血,血,血,,
C_01_087,C_01_087-BLOOD_2-1220-312,blood_2,血,血_2,血,,
C_01_088,C_01_088-APPOINTMENT-160G-313,appointment,預約,預約,預約,,
C_01_088,C_01_088-^APPOINTMENT_2-160G-314,^appointment_2,預約,預約_2,預約,,
C_01_089,C_01_089-OWE-0QP0-315,owe,欠,欠,欠,,
C_01_089,C_01_089-OWE_2-0QP0-316,owe_2,欠,欠_2,欠,,
C_02_001,C_02_001-FEEL-0O8V-317,feel,感覺,感覺,感覺,,
